#      L                                     Mean                    Error
4.000000000000000000e+00 1.070733070369999984e+00 1.803426690630000000e-04
8.000000000000000000e+00 7.162108163829999947e-01 1.209686685290000000e-04
1.600000000000000000e+01 4.640066494940000017e-01 7.713588084440000000e-05
3.200000000000000000e+01 2.962589829440000273e-01 4.779893003720000000e-05
6.400000000000000000e+01 1.879182010890000087e-01 4.508243649730000000e-05
1.280000000000000000e+02 1.187203704449999944e-01 4.109225419919999788e-05
2.560000000000000000e+02 7.493445998990000412e-02 3.244477746049999915e-05
5.120000000000000000e+02 4.723952179279999979e-02 2.218675546159999979e-05
1.024000000000000000e+03 2.977502534709999940e-02 1.352087953700000036e-05
2.048000000000000000e+03 1.875747564800000000e-02 9.682849638000000520e-06
